f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,label
0,0,-258.713,-289.714,28.921,0,0,0,0,0,0,0,-155.54,-120.642,38.856,0,0,0,0,99.596,0,0,-108.037,-123.078,-132.905,0,0,0,0,479.861,0,0,-286.957,-457.308,245.895,0,0,0,0,496.355,0,0,-95.639,-201.913,-115.016,0,0,0,0,291.517,0,0,-207.953,-254.44,-87.431,0,0,-317.418,-317.418,221.471,0,0,-34.458,-58.257,-13.442,0,0,-43.909,-43.909,70.086,0,0,-31.197,-22.43,-95.788,0,0,-140.338,-140.338,138.181,0,0,-13.202,-88.228,59.181,0,0,0,0,127.477,0,0,0,0,0,0,0,0,0,0,0,0,-182.125,-321.984,52.581,0,0,0,0,284.249,0,0,-1.511,-14.026,-44.376,0,0,-101.978,-101.978,114.064,0,0,-41.489,-48.284,9.91,0,0,-30.791,0,-10.796,0,0,-264.47,-256.416,222.472,2703.285,-2703.285,-393.912,-393.912,165.754,0,0,-145.01,-164.347,88.564,1330.248,-1330.248,-188.188,0,319.582,0,0,-121.3,-114.483,46.014,928.501,-928.501,-155.605,0,79.903,0,0,-66.996,-37.185,21.068,-1114.871,1114.871,-129.379,-129.379,18.362,0,0,-112.32,-134.719,67.524,-1928.829,1928.829,0,-282.412,105.29,0,0,-177.798,-119.382,41.054,0,0,-175.457,-239.342,145.128,0,0,-45.13,-26.971,40.13,0,0,-85.257,-33.69,97.035,1
0,0,-324.886,-438.579,80.794,0,0,0,0,0,0,0,-145.158,-126.082,16.081,0,0,0,0,84.626,0,0,-115.577,-122.697,-157.348,0,0,0,0,455.713,0,0,-261.275,-339.974,158.828,0,0,0,0,478.206,0,0,-287.018,-315.95,8.184,0,0,0,0,456.112,0,0,-292.196,-205.682,-148.293,0,0,-344.746,-344.746,150.028,0,0,-24.562,-58.601,-33.111,0,0,-34.886,-34.886,65.757,0,0,-34.908,-7.589,-93.574,0,0,-113.252,-113.252,121.476,0,0,-20.942,-230.77,56.922,0,0,0,0,288.657,0,0,0,0,0,0,0,0,0,0,0,0,-61.97,-206.509,-36.321,0,0,0,0,202.848,0,0,-12.713,-81.908,-60.115,0,0,-162.996,-162.996,245.726,0,0,-27.228,-59.67,-18.403,0,0,-37.698,0,-10.606,0,0,-69.296,-279.21,140.365,3298.497,-3298.497,-533.899,-533.899,192.164,0,0,-132.182,-188.104,87.23,1589.75,-1589.75,-189.109,0,198.907,0,0,0,0,0,0,0,0,0,0,0,0,-114.251,-138.111,35.566,-2194.149,2194.149,-284.468,-284.468,117.565,0,0,-119.268,-114.299,-21.312,-2371.246,2371.246,0,-350.894,36.627,0,0,-64.29,-45.039,-85.319,0,0,-278.24,-156.214,121.694,0,0,-4.545,-25.713,-15.959,0,0,-67.458,-38.186,70.125,1
0,0,-244.93,-306.056,216.734,0,0,0,0,0,0,0,-294.958,-345.318,179.603,0,0,0,0,201.695,0,0,-100.947,-57.748,-69.937,0,0,0,0,456.603,0,0,-251.001,-423.389,-178.669,0,0,0,0,647.411,0,0,-141.405,-227.815,-73.778,0,0,0,0,514.09,0,0,-258.971,-226.935,-109,0,0,-512.525,-512.525,298.185,0,0,-29.538,-39.447,-13.56,0,0,-36.51,-36.51,49.12,0,0,-97.584,-113.806,28.245,0,0,-227.594,-227.594,212.136,0,0,-15.833,-112.574,-33.381,0,0,0,0,272.092,0,0,0,0,0,0,0,0,0,0,0,0,-220.092,-414.909,138.1,0,0,0,0,279.859,0,0,-24.713,-82.165,-31.378,0,0,-242.365,-242.365,152.269,0,0,-37.423,-34.285,-21.383,0,0,-62.361,0,70.845,0,0,-222.725,-373.724,183.495,4531.08,-4531.08,-572.187,-572.187,253.2,0,0,-130.094,-87.782,29.452,1790.572,-1790.572,-358.08,0,407.474,0,0,-92.951,-170.696,-58.307,2133.118,-2133.118,-638.135,0,354.673,0,0,-68.129,-58.487,36.176,-1354.513,1354.513,-128.611,-128.611,23.066,0,0,-4.474,-103.042,-46.71,-1146.991,1146.991,0,-178.858,36.671,0,0,-45.43,-76.439,-67.642,0,0,-164.939,-242.763,181.626,0,0,-140.164,-44.358,-14.279,0,0,-232.187,-183.03,143.479,1.5
0,0,-294.881,-263.181,202.95,0,0,0,0,0,0,0,-145.288,-91.724,-21.838,0,0,0,0,110.886,0,0,-255.309,-184.721,-70.891,0,0,0,0,676.991,0,0,-160.361,-493.554,-95.828,0,0,0,0,605.786,0,0,-420.121,-407.991,-155.821,0,0,0,0,369.747,0,0,-90.246,-193.51,-79.912,0,0,-228.822,-228.822,146.19,0,0,-34.043,-53.812,-18.628,0,0,-50.655,-50.655,70.995,0,0,-100.749,-168.261,-27.712,0,0,-145.129,-145.129,155.694,0,0,-67.086,-192.379,12.541,0,0,0,0,221.826,0,0,0,0,0,0,0,0,0,0,0,0,-125.227,-289.78,17.76,0,0,0,0,194.094,0,0,-76.964,-130.164,4.661,0,0,-156.018,-156.018,274.582,0,0,-41.784,-66.597,-5.077,0,0,-34.062,0,-12.173,0,0,-109.663,-222.5,56.436,2606.674,-2606.674,-255.257,-255.257,131.343,0,0,-148.033,-282.242,37.036,2538.1,-2538.1,-447.821,0,443.858,0,0,-22.042,-235.041,-37.672,2582.967,-2582.967,-765.994,0,242.22,0,0,-161.559,-217.552,-38.95,-4194.233,4194.233,-526.682,-526.682,136.779,0,0,-55.88,-82.078,-128.551,-2637.676,2637.676,0,-398.386,160.708,0,0,-364.075,-152.714,126.924,0,0,-283.57,-249.005,112.883,0,0,-39.206,-24.155,29.338,0,0,-92.09,-30.632,30.409,2
0,0,-222.844,-393.028,193.403,0,0,0,0,0,0,0,-140.558,-124.813,38.713,0,0,0,0,69.135,0,0,-236.678,-156.382,-26.037,0,0,0,0,439.864,0,0,-204.678,-523.114,105.457,0,0,0,0,729.639,0,0,-291.539,-275.094,77.599,0,0,0,0,563.489,0,0,-86.465,-82.155,-64.91,0,0,-191.193,-191.193,89.615,0,0,-27.422,-75.272,-2.885,0,0,-42.453,-42.453,49.279,0,0,-177.016,-161.025,159.665,0,0,-173.816,-173.816,209.796,0,0,-7.693,-171.702,32.616,0,0,0,0,200.352,0,0,0,0,0,0,0,0,0,0,0,0,-203.128,-337.183,17.502,0,0,0,0,354.424,0,0,-3.896,-18.063,-44.246,0,0,-61.207,-61.207,109.579,0,0,-38.06,-52.537,-12.209,0,0,-49.319,0,-19.104,0,0,-229.151,-352.422,185.584,3335.718,-3335.718,-392.587,-392.587,35.689,0,0,-165.928,-153.316,85.984,1850.48,-1850.48,-386.412,0,375.754,0,0,-43.867,-136.494,67.407,926.339,-926.339,-330.801,0,207.746,0,0,-69.8,-70.125,37.231,-1307.482,1307.482,-135.233,-135.233,-39.32,0,0,-105.461,-111.527,27.803,-2495.405,2495.405,0,-561.292,138.658,0,0,-132.723,-94.602,44.16,0,0,-199.614,-136.842,139.597,0,0,-5.516,-24.002,-22.421,0,0,-71.293,-35.869,40.552,1.5
0,0,-299.682,-353.431,251.138,0,0,0,0,0,0,0,-152.282,-125.546,50.058,0,0,0,0,86.53,0,0,-220.647,-179.076,-124.158,0,0,0,0,617.154,0,0,-122.461,-480.904,-53.006,0,0,0,0,514.711,0,0,-257.738,-402.753,-192.095,0,0,0,0,515.888,0,0,-182.412,-307.312,-66.992,0,0,-364.677,-364.677,201.437,0,0,-33.639,-38.368,-22.854,0,0,-51.283,-51.283,57.583,0,0,-97.577,-154.026,-63.08,0,0,-167.387,-167.387,202.258,0,0,-60.647,-292.921,51.592,0,0,0,0,329.876,0,0,0,0,0,0,0,0,0,0,0,0,-257.495,-310.371,133.591,0,0,0,0,280.977,0,0,-132.752,-241.91,173.108,0,0,-323.579,-323.579,344.163,0,0,-34.875,-70.75,-22.738,0,0,-22.2,0,-9.977,0,0,-109.057,-214.639,103.331,2541.013,-2541.013,-228.852,-228.852,120.454,0,0,-241.104,-271.308,121.608,2537.994,-2537.994,-481.423,0,413.484,0,0,-10.886,-97.46,3.804,1423.287,-1423.287,-315.655,0,49.576,0,0,-224.759,-261.862,64.478,-4222.702,4222.702,-389.082,-389.082,5.721,0,0,-83.895,-79.103,-74.479,-2446.811,2446.811,0,-328.447,275.209,0,0,-402.789,-141.644,166.291,0,0,-336.284,-246.683,147.925,0,0,-8.649,-20.373,-12.833,0,0,-35.807,-91.502,67.355,2
0,0,-212.775,-158.506,-5.034,0,0,0,0,0,0,0,-241.149,-78.972,-165.202,0,0,0,0,153.159,0,0,-278.024,-263.003,-201.26,0,0,0,0,586.952,0,0,-191.967,-340.738,131.635,0,0,0,0,474.249,0,0,-7.076,-138.269,-7.439,0,0,0,0,20.801,0,0,0,0,0,0,0,0,0,0,0,0,-175.662,-83.313,-23.682,0,0,-241.441,-241.441,194.845,0,0,0,0,0,0,0,0,0,0,0,0,-138.408,-330.989,-17.363,0,0,0,0,361.415,0,0,-32.132,-31.383,-82.524,0,0,0,0,53.788,0,0,-10.213,-32.18,-13.397,0,0,0,0,71.603,0,0,-91.441,-250.255,-67.854,0,0,-339.756,-339.756,346.909,0,0,0,0,0,0,0,0,0,0,0,0,-197.115,-259.848,83.994,3372.004,-3372.004,-415.807,-415.807,282.305,0,0,-157.558,-210.166,-10.189,1608.794,-1608.794,-202.806,0,349.101,0,0,-107.374,-329.49,-80.028,5144.649,-5144.649,-1123.211,0,224.793,0,0,-95.167,-97.615,-71.932,-3946.971,3946.971,-328.923,-328.923,14.107,0,0,-247.945,-130.523,149.055,-2532.325,2532.325,0,-337.554,46.228,0,0,-19.25,-132.696,-48.202,0,0,-200.838,-210.724,176.031,0,0,0,0,0,0,0,0,0,0,1.5
0,0,-347.85,-321.599,229.632,0,0,0,0,0,0,0,-29.158,-38.864,-70.543,0,0,0,0,83.874,0,0,-191.429,-285.766,-230.227,0,0,0,0,723.732,0,0,-266.011,-587.042,-105.963,0,0,0,0,624.988,0,0,-117.685,-201.851,-177.214,0,0,0,0,163.329,0,0,-36.575,-106.65,-23.619,0,0,-283.749,-283.749,190.549,0,0,-191.73,-103.073,10.356,0,0,-284.171,-284.171,301.798,0,0,-24.344,-13.17,-43.935,0,0,-60.262,-60.262,113.577,0,0,-102.01,-250.788,-15.401,0,0,0,0,287.142,0,0,-44.793,-24.903,-33.684,0,0,0,0,84.031,0,0,-337.299,-351.26,-19.519,0,0,0,0,131.264,0,0,-27.476,-80.821,-86.804,0,0,-174.057,-174.057,132.761,0,0,0,0,0,0,0,0,0,0,0,0,-101.171,-340.501,64.579,4615.274,-4615.274,-514.202,-514.202,295.6,0,0,-117.436,-111.83,-41.972,1915.403,-1915.403,-352.428,0,388.33,0,0,-148.982,-174.72,17.146,2718.301,-2718.301,-769.094,0,218.521,0,0,-216.932,-435.673,18.832,-6812.792,6812.792,-981.815,-981.815,307.318,0,0,-19.007,-56.019,-19.539,-1464.326,1464.326,0,-196.127,63.146,0,0,-148.976,-63.299,63.567,0,0,-174.234,-123.18,82.295,0,0,-102.386,-6.749,-32.169,0,0,-99.993,-119.561,76.172,2
0,0,-270.596,-311.778,170.26,0,0,0,0,0,0,0,-199.542,-104.83,46.124,0,0,0,0,205.356,0,0,-319.556,-268.856,-91.53,0,0,0,0,377.347,0,0,-108.841,-146.499,-133.363,0,0,0,0,289.284,0,0,-16.306,-135.967,-9.998,0,0,0,0,17.061,0,0,-40.829,-52.619,-9.6,0,0,-156.166,-156.166,104.351,0,0,-107.41,-92.501,-33.415,0,0,-287.125,-287.125,289.528,0,0,0,0,0,0,0,0,0,0,0,0,-146.85,-260.291,111.386,0,0,0,0,183.934,0,0,-35.128,-29.649,-58.748,0,0,0,0,51.329,0,0,-44.363,-147.19,-3.779,0,0,0,0,66.285,0,0,-28.362,-84.669,-92.482,0,0,-191.781,-191.781,208.433,0,0,0,0,0,0,0,0,0,0,0,0,-164.296,-558.271,121.377,6115.016,-6115.016,-813.131,-813.131,254.242,0,0,-174.451,-244.843,21.1,1807.622,-1807.622,-321.673,0,262.326,0,0,-94.937,-262.706,-60.734,3693.717,-3693.717,-1022.877,0,375.272,0,0,-258.966,-222.531,116.867,-4854.147,4854.147,-575.491,-575.491,216.359,0,0,-66.66,-86.493,89.924,-1248.516,1248.516,0,-178.45,94.311,0,0,-127.626,-165.979,-1.998,0,0,-286.848,-267.116,101.165,0,0,0,0,0,0,0,0,0,0,1
0,0,-197.18,-163.483,-9.912,0,0,0,0,0,0,0,-205.719,-105.382,71.485,0,0,0,0,211.782,0,0,-212.333,-227.864,-76.165,0,0,0,0,481.528,0,0,-116.339,-110.922,-73.557,0,0,0,0,341.874,0,0,-14.976,-140.679,-18.688,0,0,0,0,27.489,0,0,-42.279,-43.504,25.837,0,0,-119.183,-119.183,165.02,0,0,-109.763,-97.629,-80.811,0,0,-297.435,-297.435,304.796,0,0,0,0,0,0,0,0,0,0,0,0,-47.79,-97.861,-34.703,0,0,0,0,161.33,0,0,-35.532,-25.115,-50.452,0,0,0,0,62.688,0,0,-64.183,-97.886,-82.578,0,0,0,0,12.261,0,0,-31.183,-93.065,-107.838,0,0,-227.259,-227.259,152.274,0,0,0,0,0,0,0,0,0,0,0,0,-222.211,-470.065,124.102,5491.664,-5491.664,-785.617,-785.617,163.129,0,0,-143.221,-166.969,36.417,1438.231,-1438.231,-263.807,0,258.854,0,0,-96.626,-287.046,-56.914,3000.949,-3000.949,-797.412,0,341.66,0,0,-162.826,-204.727,159.976,-3941.819,3941.819,-628.748,-628.748,382.794,0,0,0,0,-1.156,-625.322,625.322,0,-27.78,-10.875,0,0,-112.39,-170.498,-16.62,0,0,-304.928,-280.247,130.616,0,0,0,0,0,0,0,0,0,0,1
